name,city,country,latitude,longitude
Universidad Autónoma del Estado de Morelos,Cuernavaca,Mexico,18.9331321,-99.2599579
Women and Children’s Hospital of Sichuan Province,Chengdu,China,30.6598628,104.0633717
Utrechts Instituut voor Farmaceutische Wetenschappen,Utrecht,Netherlands,52.0907006,5.1215634
"Istituto Nazionale di Fisica Nucleare, Sezione di Cagliari",Monserrato,Italy,39.2539413,9.1432062
An Hui University,Hefei,China,31.8665676,117.281428
Asociación de Investigación Metalurgica del Noroeste,Porrino,Spain,42.1618812,-8.6202683
Western Bulldogs Football Club,West Footscray,Australia,-37.8017412,144.8840739
STIM Lasharan Jaya,Makassar,Indonesia,-5.1342962,119.4124282
Institute of Fundamental and Applied Research,Tashkent,Uzbekistan,41.3123363,69.2787079
"Key Laboratory of Ecology and Energy-saving Study of Dense Habitat, Ministry of Education",Shanghai,China,31.2312707,121.4700152
İstanbul Tıp Fakültesi,Istanbul,Türkiye,41.006381,28.9758715
University of Cyprus,Nicosia,Cyprus,35.1746503,33.3638783
Krembil Research Institute,Toronto,Canada,43.6534817,-79.3839347
Bernhard Nocht Institut fur Tropenmedizin Hamburg,Hamburg,Germany,53.550341,10.000654
Iğdır Üniversitesi,Igdir,Turkey,40.313278,32.679981
Drottning Silvias Barnsjukhus,Gothenburg,Sweden,57.7072326,11.9670171
FLYSIB,La Plata,Argentina,-34.9206797,-57.9537638
Sant Joan de Reus University Hospital,Reus,Spain,41.1555564,1.1061058
Parkinson Excellence Center of the Fresco Institute,Vicenza,Italy,45.6348591,11.4063543
"Écosystèmes, Biodiversité, Évolution",Rennes,France,48.1113387,-1.6800198
Siedlce University of Natural Sciences and Humanities,Siedlce,Poland,52.1663751,22.2765138
Biometrics Research,New York,United States,40.7127281,-74.0060152
Collaborative Innovation Center of Chemistry for Energy Materials (iChEM),Dalian,China,39.740278,122.255833
Soochow University,Suzhou,China,31.311123,120.6212881
Institute of Radiation Problems Ministry of Science and Education Republic of Azerbaijan,Baku,Azerbaijan,40.3755885,49.8328009
Swansea City Association Football Club Limited,Swansea,United Kingdom,51.6195955,-3.9459248
Movement for Global Mental Health,Johannesburg,South Africa,-26.205,28.049722
Zhejiang Shuren University,Hangzhou,China,30.2489634,120.2052342
Centenary College,,United States,,
UAB Department of Pediatrics,Birmingham,United States,33.5206824,-86.8024326
Yunnan Power Grid Co. Ltd,Kunming,China,25.0363006,102.7086139
Interactions LLC,Franklin,United States,33.2002659,-95.2231752
Rutgers Environmental and Occupational Health Sciences Institute,Piscataway,United States,40.5462553,-74.4660408
Jihomoravské muzeum ve Znojmĕ,Znojmo,Czech Republic,48.8554341,16.0489457
Société Degremorrt,Rueil-Malmaison,France,48.87778,2.1802832
"Institute of Molecular Biology and Physiology, The August Krogh Building",Copenhagen,Denmark,55.6867243,12.5700724
Universidad de Colima,Colima,Mexico,19.166667,-104.0
Farhangyan University,Mashad,Iran,36.2974945,59.6059232
"Carbon, Inc.",Redwood City,United States,37.4863239,-122.232523
Rehabilitation Foundation,,Netherlands,,
St. John's College Cambridge,Cambridge,United Kingdom,52.2055314,0.1186637
Istituto di Fisiologia Clinica del CNR,Pisa,Italy,43.4714722,10.6797912
Hospital Dr. Gustavo N. Collado,Herrera,Panama,7.854438,-80.7436313
Guangxi Earthmoving Machinery Collaborative Innovation Center,Liuzhou,China,25.0009993,109.3414252
Surface Measurement Systems Ltd.,London,United Kingdom,51.4893335,-0.1440551
Council for Geoscience,Pretoria,South Africa,-25.7459277,28.1879101
Georgia Southwestern State University,Americus,United States,32.0723862,-84.2326876
Laboratoire des 2 Infinis – Toulouse (L2IT),Toulouse,France,43.6044622,1.4442469
National Research and Innovation Agency South,Tangerang,Indonesia,-6.1761924,106.6382161
Loughborough University London,London,United Kingdom,51.4893335,-0.1440551
Harbin University of Commerce,Harbin,China,45.7593633,126.6276177
Handong Global University,Pohang,South Korea,36.0189315,129.3429384
"Centre for Future Materials, University of Southern Queensland",Toowoomba,Australia,-27.5610193,151.953351
Olympic Training and Testing Center of Hessen,Frankfurt am Main,Germany,50.1106444,8.6820917
Jiangsu CPTEK Servo Technology Co. Ltd.,Liyang,China,31.4178958,119.4787471
Center for Energy Research,La Jolla,United States,32.553509,-94.359496
"Hong Kong University of Science and Technology, Shenzhen Research Institute",Shenzhen,China,22.5445741,114.0545429
Ministry of Natural Resources of the People's Republic of China,Beijing,China,40.190632,116.412144
Association for Birth Houses &amp; Centers (APODAC),Prague,Czech Republic,50.0596288,14.4464593
University of Jan Evangelist Purkyně in Ústí Nad Labem,Usti nad Labem,Czech Republic,50.6603327,14.0381357
China Institute of Veterinary Drug Control,Beijing,China,40.190632,116.412144
Crawley Hospital,Crawley,United Kingdom,51.1103444,-0.1801094
Priyadarshini Bhagwati College of Engineering,Nagpur,India,21.1498134,79.0820556
Shanghai Second Medical College,Shanghai,China,31.2312707,121.4700152
IET,Stevenage,United Kingdom,51.9016663,-0.2027155
Chaharmahal and Bakhtiari Province Gas Company,Shahr-e Kord,Iran,32.3257366,50.8497369
Agence de la Biomédecine,Paris,France,48.8534951,2.3483915
Medical Social Educative Rehab Centre “Bel Air”,,France,,
Nanjing Institute of Technology,Nanjing,China,32.0438284,118.7788631
Rovalma S.A.,Terrassa,Spain,41.5629623,2.0100492
University of Asmara,Asmara,Eritrea,15.3389667,38.9326763
Fratelli Canova 49,,Italy,,
Universidade Federal do Triangulo Mineiro,Uberaba,Brazil,-19.750833,-47.936666
Rutgers School of Management and Labor Relations,Piscataway,United States,40.5462553,-74.4660408
Taiwan Power Company,Taipei,Taiwan,25.0375198,121.5636796
Fraunhofer Institute for Microstructure of Materials and Systems IMWS,Halle,Germany,51.4824354,11.9712985
Institute for Theoretical Solid State Physics,Dresden,Germany,51.0493286,13.7381437
Tecnológico Nacional de México,Mexico City,Mexico,19.4326296,-99.1331785
Cincinnati Museum Center,Cincinnati,United States,39.1014537,-84.5124602
Institutul de Sanatate Publica,Bucharest,Romania,44.4361414,26.1027202
Shanghai Institute of Space Propulsion,Shanghai,China,31.2312707,121.4700152
CTM Centre Tecnològic,Manresa,Spain,41.7288939,1.8286765
Tongji Zhejiang College,Jiaxing,China,30.7474425,120.7510971
School of Metallurgy and Materials Science,Caracas,Venezuela,10.5060934,-66.9146008
INCERPLAST,Bucharest,Romania,44.4361414,26.1027202
Surfix B.V.,Wageningen,Netherlands,51.9663016,5.6662814
Computer Technology Associates,"McLean/Washington, D.C.",United States,38.9366332,-77.0765405
"Institute of Agrobiological Sciences, NARO",Tsukuba,Japan,36.0833265,140.077279
Jeju National University,Jeju,South Korea,33.4887737,126.4987083
Italian Consortium for Science and Technology of Materials (INSTM),Florence,Italy,43.7697955,11.2556404
Aquatech Systems. Allied-Signal Inc.,Warren,United States,41.8119602,-79.2654452
The Neotia University,Sarisa,India,22.756233,75.8891176
Faculty of Tourism and Hotels,Ismailia,Egypt,30.6043775,32.2770825
Seminar for Applied Mathematics,Zurich,Switzerland,47.3744489,8.5410422
Computing Center FEB RAS,Khabarovsk,Russian Federation,51.6312684,136.121524
Shenzhen Smart City Technology Development Group Company Ltd.,Shenzhen,China,22.5445741,114.0545429
Environment Agency Austria,Vienna,Austria,48.2083537,16.3725042
University of Paraíba Valley,Sao Jose dos Campos,Brazil,-23.1867782,-45.8854538
Ankara Yildirim Beyazit University,Ankara,Turkey,39.9207759,32.8540497
"Faculty of Economics, Business and Tourism, University of Split",Split,Croatia,43.5116383,16.4399659
Max-Planck-Institut für Biochemie,Planegg,Germany,48.103742,11.4220029
Universidad de Antioquia,Medellin,Colombia,6.2697324,-75.6025597
Lincoln County Hospital,Lincoln,United Kingdom,53.2293545,-0.5404819
Šumava National Park Administration,,Czech Republic,,
Lake-Sumter Community College,Leesburg,United States,39.1154506,-77.5645607
Institute for Biophysical Dynamics,Chicago,United States,41.8755616,-87.6244212
3D Medical Imaging Lab,Seoul,South Korea,37.5666791,126.9782914
China University of Technology,Taipei,Taiwan,25.0375198,121.5636796
Chair Electric Power Networks and Renewable Energy,Magdeburg,Germany,52.1315889,11.6399609
Staatliches Museum für Naturkunde Karlsruhe,Karlsruhe,Germany,49.0068705,8.4034195
Putian University,Putian,China,25.4965882,118.8500963
Perfectus Biomed Group,Daresbury,United Kingdom,53.3401912,-2.6329929
Institute of Animal Science,Prague,Czech Republic,50.0596288,14.4464593
Asia Eastern University of Science and Technology,New Taipei City,Taiwan,25.0267902,121.4710784
ŠOPSR - Správa NP Poloniny,,Slovakia,,
Tibet Agriculture and Animal Husbandry University,Linzhi City,China,22.46236,112.97984
Tsinghua School of Medicine,Beijing,China,40.190632,116.412144
Omicron-Laserage Laserprodukte GmbH,Rodgau,Germany,50.0176771,8.8853392
Genetics Hokkaido Association,Hokkaido,Japan,43.4519831,142.8197834
University of Pittsburgh Musculoskeletal Research Center,Pittsburgh,United States,40.4416941,-79.9900861
E.A.Vagner Perm State Medical University,Perm,Russian Federation,58.014965,56.246723
Autonomous University of Juarez City,Juarez City,Mexico,19.4332704,-99.1476839
District of Columbia Water and Sewer Authority,"Washington, D.C.",United States,38.8950368,-77.0365427
"Multimedia, InfoRmation systems and Advanced Computing Laboratory",Sfax,Tunisia,34.7394361,10.7604024
Danish School Sport,,Denmark,,
RISE Acreo AB,Kista,Sweden,59.4031236,17.9424221
Irish Centre for Composites Research (IComp),,Ireland,,
University of the Philippines Diliman (Philippines),Johannesburg,South Africa,-26.205,28.049722
School of Public Health and Safety,Tehran,Iran,35.6892523,51.3896004
Der Landschaftverband Rheinlund,Bonn,Germany,50.7352621,7.1024635
Institut Supérieur des Matériaux et Mécaniques Avancés du Mans,Le Mans,France,48.0073849,0.1967849
First People's Hospital of Neijiang,Neijiang,China,29.5827261,105.054491
Agricultural Sciences and Natural Resources University of Khuzestan,Mollasani,Iran,31.5841359,48.888229
Industry Mines and Agriculture,Commerce,Iran,32.0,53.0
Vandmiljø Randers,Randers C,Denmark,56.4355428,10.0425957
Center for Biotechnology &amp; Interdisciplinary Studies,Troy,United States,42.7284117,-73.6917878
Institute of Occupational Medicine,Edinburgh,United Kingdom,55.9533456,-3.1883749
University of Tlaxcala,Tlaxcala,Mexico,19.416667,-98.166667
Versa Management Systems Ltd.,Toronto,Canada,43.6534817,-79.3839347
University of Miami Health System,Miami,United States,25.7741728,-80.19362
Swedish School of Sport and Health Sciences,Stockholm,Sweden,59.3251172,18.0710935
Lobisen,Brest,France,48.3905283,-4.4860088
Chinese Center for Disease Control and Prevention,Beijing,China,40.190632,116.412144
Graduate Institute Geneva,Geneve,Switzerland,46.2017559,6.1466014
Bureau of Land Resource of Linhai,,China,,
College of Health and Human Sciences,West Lafayette,United States,40.4258686,-86.9080655
Villanova University College of Engineering,Villanova,United States,40.0373323,-75.3490769
Kort &amp; Matrikelstyrelsen,Copenhagen,Denmark,55.6867243,12.5700724
Faculdade de Psicologia e de Ciências da Educação,Coimbra,Portugal,40.2111931,-8.4294632
Sante Fe Institute,Santa Fe,United States,35.6876096,-105.938456
Xi'an Research Institute of Surveying and Mapping,Xi'an,China,34.261004,108.9423363
Footwear Technology Center of La Rioja (CTCR),Arnedo,Spain,42.2273401,-2.0995697
Triservice General Hospital Taiwan,Taipei,Taiwan,25.0375198,121.5636796
Museum National d'Histoire Naturelle,Paris,France,48.8534951,2.3483915
Gifu University,Gifu,Japan,35.7867449,137.0460777
Veterinary Hospital San Michele,Lodi,Italy,45.2613104,9.4916781
Prabhu Jagatbandhu College,Howrah,India,22.5736296,88.3251045
"Faculty of Computing and Information Technology in Rabigh, King Abdulaziz University",Rabigh,Saudi Arabia,22.7989669,39.0335547
Universidade Federal do Ceará,Fortaleza,Brazil,-3.7304512,-38.5217989
Apple Chemie India Private Limited,Nagpur,India,21.1498134,79.0820556
Burke Psychological,Portland,United States,45.5202471,-122.674194
Autism Society of California,San Diego,United States,32.7174202,-117.162772
University of Casablanca,Hassan,Morocco,34.9730069,-5.2696174
Information Technology and Research,,,,
Physiogenex SAS,Labege-Innopole,France,43.5474999,1.5128101
JARAD Recycling Technology Sp. z o.o.,Smolnica,Poland,52.78982,14.63671
Institute of Petrochemistry and Catalysis of RAS,Ufa,Russian Federation,54.7261409,55.947499
Nara Medical University,Kashihara,Japan,34.5094067,135.792955
"VENTRIX, INC.",San Diego,United States,32.7174202,-117.162772
POLIS University,Tirana,Albania,41.3281482,19.8184435
Southwest Electric Power Design Institute Co Ltd of China Electric Power Engineering Consulting Group,Chengdu,China,30.6598628,104.0633717
"Badan Penelitian Dan Pengembangan Kesehatan, Kementerian Kesehatan Republik Indonesia",Jakarta,Indonesia,-6.1754049,106.827168
University of Kentucky College of Dentistry,Lexington,United States,38.0464066,-84.4970393
"Institute of Archaeology of the Academy of Sciences of the Czech Republic, Brno",Brno,Czech Republic,49.1922443,16.6113382
Faculty of Computers and Artificial Intelligence,Giza,Egypt,29.9870753,31.2118063
Evolution Institute,San Antonio,United States,29.4246002,-98.4951405
Geodetic Data Processing Centre of Ministry of Natural Resources,Xi'an,China,34.261004,108.9423363
Federal Office for Safety in Health Care,Vienna,Austria,48.2083537,16.3725042
Zinergy Shenzhen Ltd,Shenzhen,China,22.5445741,114.0545429
Institute of Convergence Technology,Seoul,South Korea,37.5666791,126.9782914
My Local Influence,Aubagne,France,43.2924385,5.5703031
Niigata University,Niigata,Japan,37.6452283,138.7669125
University of Redlands,Redlands,United States,34.0550328,-117.1827445
Hospital Infantil de México Federico Gómez,Mexico,Mexico,23.6585116,-102.0077097
South Asian University,New Delhi,India,28.6430858,77.2192671
Research Division of the Naco Technologies Ltd,Riga,Latvia,56.9493977,24.1051846
Universiti Malaysia Terengganu,Kuala Terengganu,Malaysia,5.3296461,103.1383265
Kalinga University,Naya Raipur,India,21.1610268,81.7864412
Université Claude Bernard Lyon 1,Villeurbanne,France,45.7733573,4.8868454
Mayo Clinic Hospital,Phoenix,United States,33.4484367,-112.074141
a LyondellBasell Company,Ferarra,Italy,42.83333,12.83333
Rebus Biosystems,Santa Clara,United States,37.3541132,-121.955174
College of Biosystems Engineering and Food Science,Hangzhou,China,30.2489634,120.2052342
Carnegie Mellon University in Qatar,Doha,Qatar,25.2856329,51.5264162
SRI International,Menlo Park,United States,37.4519671,-122.177992
"TENMAK (Turkish Energy, Nuclear and Mineral Research Agency)",Cankaya,Turkey,39.8853321,32.8554966
International Information Technology University,Almaty,Kazakhstan,43.2363924,76.9457275
Chapel Allerton Hospital,Leeds,United Kingdom,53.7974185,-1.5437941
Centre for Functioning and Health Research,Brisbane,Australia,-27.4689623,153.0235009
UNIS,Brno,Czech Republic,49.1922443,16.6113382
Jyväskylä University School of Business and Economics,Jyvaskyla,Finland,62.2417066,25.7495727
Istituto Mediterraneo per i Trapianti e Terapie ad Alta Specializzazione,Palermo,Italy,38.1112268,13.3524434
TotalEnergies Research &amp; Technology Gonfreville,Harfleur,France,49.5075158,0.200141
NPIstanbul Brain Hospital,Istanbul,Turkey,41.006381,28.9758715
Research and Development Wab,Stockholm,Sweden,59.3251172,18.0710935
Rua Episcopal,,United States,,
Sibbhultsverken AB,Sibbhult,Sweden,56.2694044,14.1950235
Prokhorov General Physics Institute of the Russian Academy of Sciences,Moscow,Russian Federation,55.625578,37.6063916
"University of Zagreb, Faculty of Electrical Engineering and Computing",Zagreb,Croatia,45.8130967,15.9772795
Faculdade de Ciências da Universidade de Lisboa,Lisbon,Portugal,38.7077507,-9.1365919
"Institute of Science and Technology for Ceramic, National Research Council",Faenza,Italy,44.2855555,11.8832055
TeleMedCare Pty. Ltd.,,Australia,,
North Delta Electric Distribution Company (NDEDC),Mansoura,Egypt,31.0407772,31.3581295
State Key Laboratory of High-end Compressor and System Technology,Hefei,China,31.8665676,117.281428
Huntsville Program Office,Huntsville,United States,34.729847,-86.5859011
Zhenjiang College,Zhenjiang,China,32.1891959,119.4200069
LISSMRD,Dresden,Germany,51.0493286,13.7381437
China National Railway Group Co. LTD,,China,,
Coal Industry Engineering Research Center of Top-coal Caving Mining,Beijing,China,40.190632,116.412144
Xi'an Aeronautical University,Xi'an,China,34.261004,108.9423363
HSG-IMIT—Institut für Mikro-und Informationstechnik,Freiburg im Breisgau,Germany,47.9960901,7.8494005
University of Georgia School of Computing,Athens,United States,33.9597677,-83.376398
National Centre for Biological Sciences,Bengaluru,India,12.9767936,77.590082
Universidad Federal Rural de Río de Janeiro,Seropedica,Brazil,-22.7438887,-43.6991998
Foshan Electric Power Company Ltd. of China,,China,,
Trig Medical Ltd,Yokneam,Israel,32.6480601,35.0943545
AIP GmbH Co. KG,Haldenwang,Germany,48.4373815,10.4461615
Hryhorii Skovoroda University in Pereiaslav,Pereiaslav,Ukraine,50.0643984,31.4447327
Light Conversion,Vilnius,Lithuania,54.6870458,25.2829111
Maasstad Ziekenhuis,Rotterdam,Netherlands,51.9244424,4.47775
China South Industries Group Company Ltd.,Mianyang,China,31.4602714,104.7160723
Center for Bipolar Illness Intervention in Hispanic Communities,San Antonio,United States,29.4246002,-98.4951405
"Oxford Instruments Technology (Shanghai) Co., Ltd",Shanghai,China,31.2312707,121.4700152
Karolinska Institutet,Stockholm,Sweden,59.3251172,18.0710935
Qufu Normal University,Qufu,China,35.5956915,116.987543
Neuroscience Research Australia,Sydney,Australia,-33.8698439,151.2082848
"Bundelkhand Institute Of Engineering &amp; Technology, Jhansi",Jhansi,India,25.529855,78.6527802
WhizBang Labs.,Pittsburgh,United States,40.4416941,-79.9900861
Irkutsk State University,Irkutsk,Russian Federation,52.2891225,104.279829
Owens Corning,Toledo,United States,41.6529143,-83.5378173
STEMMARK,Prague,Czech Republic,50.0596288,14.4464593
Norges Miljø- og Biovitenskapelige Universitet,As,Norway,59.6792808,10.7741636
Beijing Institute of Technology,Beijing,China,40.190632,116.412144
Key Laboratory of Clinical Cardiovascular Genetics Ministry of Education,,,,
Regis College,Weston,United States,26.1003392,-80.399513
Belfast City Hospital,Belfast,United Kingdom,54.596391,-5.9301829
MohanlalSukhadia University,Udaipur,India,24.578721,73.6862571
Klinikum Ludwigshafen,Ludwigshafen,Germany,49.4704113,8.4381568
Suomen Pankki,Helsinki,Finland,60.1674881,24.9427473
MIT Center for Transportation &amp; Logistics,Cambridge,United States,42.3656347,-71.1040018
Hôpital du Sacré-Cœur-de-Montréal,Montreal,Canada,45.5031824,-73.5698065
GReD s.r.l. c/o ComoNExT,Como,Italy,45.9394759,9.1494101
Building Technologies Laboratory,,Switzerland,,
Emmanuel College,Cambridge,United Kingdom,52.2055314,0.1186637
Regionshospitalet Herning,Herning,Denmark,56.1379757,8.9746623
Bareilly College,Bareilly,India,28.4582344,79.4047452
Sheffield Children's NHS Foundation Trust,Sheffield,United Kingdom,53.3806626,-1.4702278
Fakultní Nemocnice Olomouc,Olomouc,Czech Republic,49.5940567,17.251143
MAPPING FOR CHANGE CIC,London,United Kingdom,51.4893335,-0.1440551
Tokyo Metropolitan Institute for Geriatrics and Gerontology,Tokyo,Japan,35.6768601,139.7638947
SIM M3 Program,Zwijnaarde,Belgium,51.0003917,3.7167702
LVR-Klinikum Essen Kliniken und Institut der Universität Duisburg-Essen,Essen,Germany,51.4582235,7.0158171
Carolinas HealthCare System,Charlotte,United States,35.2272086,-80.8430827
Fundação Educacional Serra dos Órgãos,Teresopolis,Brazil,-22.4164578,-42.975194
University of Sharjah,Sharjah,United Arab Emirates,25.2311534,54.2190083
"Medizinische Fakultät, RWTH Aachen University",Aachen,Germany,50.776351,6.083862
Micro Focus,Sunnyvale,United States,37.3688301,-122.036349
Research School of Chemistry,,Australia,,
Jeonju University,Jeonju,South Korea,35.8237631,127.1472805
Lancaster University Management School,Lancaster,United Kingdom,54.0484068,-2.7990345
"Istituto Dei Sistemi Complessi, Rome",Rome,Italy,41.8933203,12.4829321
Presbyterian Healthcare Services,Albuquerque,United States,35.0841034,-106.650985
"ANSES - French Agency for Food, Environmental and Occupational Health &amp; Safety",Maisons-Alfort,France,48.8012045,2.4309703
Kaczkowski Military Institute of Hygiene Epidemiology,,Poland,,
"G. V. Kurdyumov Institute for Metal Physics, National Academy of Sciences of Ukraine",Kyiv,Ukraine,50.4500336,30.5241361
University Public Corporation Osaka,Osaka,Japan,34.6937569,135.5014539
ImmuneMed Inc,Gangwon-do,South Korea,37.885,127.7297
Zibo University,Zibo,China,36.8129564,118.0488401
"Hauptman-Woodward Medical Research Institute, Inc.",Buffalo,United States,42.8867166,-78.8783922
College of Social Sciences,Glasgow,United Kingdom,55.861155,-4.2501687
Caucasus University,Tbilisi,Georgia,41.6934591,44.8014495
The Carter Center,Atlanta,United States,33.7489924,-84.3902644
Laboratorio Nacional de Fusión,Madrid,Spain,40.4167047,-3.7035825
"Koito Manufacturing Co., Ltd.",Tokyo,Japan,35.6768601,139.7638947
Pearson plc,London,United Kingdom,51.4893335,-0.1440551
Shanghai Experimental Foreign Language School,Shanghai,China,31.2312707,121.4700152
Taussig Cancer Center,Cleveland,United States,41.4996574,-81.6936772
Korea R&amp;D,Gyeonggi,South Korea,37.2884675,127.0535231
NIRA Dynamics AB,Linkoping,Sweden,58.4098135,15.6245252
General Hospital Tešanj,Sarajevo,Bosnia and Herzegovina,43.8519774,18.3866868
Polish Metrological Society,Warsaw,Poland,52.2319581,21.0067249
Alaska Department of Fish and Game,Juneau,United States,58.3019613,-134.4196751
China Vegetable Oil Corporation,,China,,
Comunidad de Madrid,Madrid,Spain,40.4167047,-3.7035825
BMEYE,Amsterdam,Netherlands,52.3730796,4.8924534
Centre Hospitalier Regional de La Citadelle,Liege,Belgium,50.4708159,5.7735459
College of Science,Cairo,Egypt,30.0443879,31.2357257
Key Laboratory of Light-Duty Gas-Turbine,,China,,
National Engineering Laboratory for Vacuum Metallurgy,Kunming,China,25.0363006,102.7086139
"Universidade de Coimbra, Química Física Molecular",Coimbra,Portugal,40.2111931,-8.4294632
Saudi Basic Industries Corporation,Riyadh,Saudi Arabia,24.638916,46.7160104
Zhenjiang Entry-Exit Inspection Quarantine Bureau,Zhenjiang,China,32.1891959,119.4200069
University of Azad Jammu and Kashmir Muzaffarabad,Muzaffarabad,Pakistan,34.3734751,73.4702407
National Institute for the Empowerment of Persons with Intellectual Disabilities,Secunderabad,India,17.4337246,78.5006827
Institute of Molecular Biology of the National Academy of Sciences of Armenia,Yerevan,Armenia,40.1777112,44.5126233
Ecole Nationale des Sciences Appliquées de Kénitra,Kenitra,Morocco,34.26457,-6.570169
Bangladesh Bank,Dhaka,Bangladesh,23.7643863,90.3890144
San Sebastiano Foundation,Florence,Italy,43.7697955,11.2556404
"National Institute of Technology, Nagaoka College",Nagaoka,Japan,37.446996,138.8512199
Ministry of the Flemish Community,Geraardsbergen,Belgium,50.7715779,3.8827287
Csolnoky F. Province Hospital,Veszprem,Hungary,47.0933824,17.9080406
Fac. de Geographie et d'Amenagement,Strasbourg,France,48.584614,7.7507127
Semantic Technologies team,Koln,Germany,50.938361,6.959974
AEG,Nurnberg,Germany,49.453872,11.077298
Vrije Universiteit Amsterdam,Amsterdam,Netherlands,52.3730796,4.8924534
State Owned Wuhan Xinyu Machine Factory,Wuhan,China,30.5951051,114.2999353
UCL Queen Square Institute of Neurology,London,United Kingdom,51.4893335,-0.1440551
Ramathibodi Hospital,Bangkok,Thailand,13.7524938,100.4935089
RMS Foundation,Bettlach,Switzerland,47.2017347,7.4254322
Research and Innovation Unit,Dublin,Ireland,53.3493795,-6.2605593
Children's Hospital Denver,Denver,United States,39.7392364,-104.984862
Université Grenoble Alpes,Saint Martin d'Heres,France,45.1836683,5.75448
Jinan Microecological Biomedicine Shandong Laboratory,Jinan,China,36.6519754,117.1138479
Çukurova Üniversitesi Tip Fakültesi,Adana,Türkiye,36.9863599,35.3252861
Yangzhou University,Yangzhou,China,32.3968554,119.4077658
GP Plastic Surgery Private Practice,Ioannina,Greece,39.6639818,20.8522784
BDO Italia SPA,Rome,Italy,41.8933203,12.4829321
Kavayitri Bahinabai Chaudhari North Maharashtra University,Jalgaon,India,20.8428826,75.5261246
IUMS Colorectal Research Center,Tehran,Iran,35.6892523,51.3896004
Danish Institute of Fundamental Metrology,,Russian Federation,,
"University of Bath, Department of Politics, Languages &amp; International Studies",Bath,United Kingdom,51.3813864,-2.3596963
Chinese Academy of Sciences,Beijing,China,40.190632,116.412144
JRT are in the Department of Mechanical Engineering,Loughborough,United Kingdom,52.7723859,-1.2077985
National Engineering Research Center for Compounding and Modification of Polymeric Materials,Guiyang,China,26.5878031,106.7086936
Uiduk University,Gyeongju,South Korea,35.8556705,129.2248811
Haus der Natur,Salzburg,Austria,47.7981346,13.0464806
"Air Quality Sciences, Inc.",Atlanta,United States,33.7489924,-84.3902644
Flemish College of General Practitioners,Antwerpen,Belgium,51.2211097,4.3997081
Qujing Normal University,Qujing,China,25.719931,103.986131
Oxford Health NHS Foundation Trust,Oxford,United Kingdom,51.7520131,-1.2578499
Allegheny General Hospital,Pittsburgh,United States,40.4416941,-79.9900861
"Shuanghuan Driveline Co., Ltd.",,China,,
